date,tweet_id
2020-01-01,1
2020-01-04,2
2020-01-06,2
2020-01-08,4
2020-01-09,15
2020-01-10,6
2020-01-11,12
2020-01-12,5
2020-01-13,5
2020-01-17,26
2020-01-18,17
2020-01-19,4
2020-01-20,124
2020-01-21,172
2020-01-22,894
2020-01-23,1294
2020-01-24,1661
2020-01-25,1861
2020-01-26,2007
2020-01-27,89144
2020-01-28,276853
2020-01-29,278176
2020-01-30,334764
2020-01-31,342530
2020-02-01,214692
2020-02-02,214131
2020-02-03,212296
2020-02-04,197584
2020-02-05,179227
2020-02-06,174097
2020-02-07,185535
2020-02-08,31733
2020-02-09,1303
2020-02-10,104174
2020-02-11,176359
2020-02-12,155665
2020-02-13,169140
2020-02-14,136853
2020-02-15,114461
2020-02-16,106752
2020-02-17,131708
2020-02-18,141239
2020-02-19,124972
2020-02-20,118391
2020-02-21,163836
2020-02-22,164589
2020-02-23,201090
2020-02-24,318792
2020-02-25,390566
2020-02-26,429898
2020-02-27,173059
2020-02-28,7937
2020-02-29,5772
2020-03-01,196130
2020-03-02,291689
2020-03-03,259374
2020-03-04,368481
2020-03-05,456618
2020-03-06,515919
2020-03-07,250870
2020-03-08,416455
2020-03-09,464215
2020-03-10,442089
2020-03-11,466839
2020-03-12,473153
2020-03-13,780868
2020-03-14,754871
2020-03-15,780395
2020-03-16,868866
2020-03-17,865023
2020-03-18,876988
2020-03-19,838984
2020-03-20,849856
2020-03-21,859862
2020-03-22,837221
2020-03-23,872812
2020-03-24,913311
2020-03-25,947012
2020-03-26,954836
2020-03-27,1008330
2020-03-28,851306
2020-03-29,828695
2020-03-30,888448
2020-03-31,869996
2020-04-01,947254
2020-04-02,921369
2020-04-03,956602
2020-04-04,898108
2020-04-05,929818
2020-04-06,974565
2020-04-07,972122
2020-04-08,1004324
2020-04-09,916598
2020-04-10,965459
2020-04-11,879677
2020-04-12,946667
2020-04-13,1053466
2020-04-14,1084975
2020-04-15,1021225
2020-04-16,1066786
2020-04-17,999909
2020-04-18,913577
2020-04-19,983031
2020-04-20,1018539
2020-04-21,1083024
2020-04-22,1115950
2020-04-23,1095605
2020-04-24,1024420
2020-04-25,975370
2020-04-26,993480
2020-04-27,1057877
2020-04-28,1086962
2020-04-29,1135864
2020-04-30,1093306
2020-05-01,943779
2020-05-02,769054
2020-05-03,151654
