State,Density,Pop,LandArea,code
District of Columbia,11814.541,720687,61,DC
New Jersey,1215.1991,8936574,7354,NJ
Rhode Island,1021.4323,1056161,1034,RI
Massachusetts,894.4355,6976597,7800,MA
Connecticut,735.8689,3563077,4842,CT
Maryland,626.6731,6083116,9707,MD
Delaware,504.3073,982895,1949,DE
New York,412.5211,19440469,47126,NY
Florida,410.1256,21992985,53625,FL
Ohio,287.5038,11747694,40861,OH
Pennsylvania,286.5449,12820878,44743,PA
California,256.3727,39937489,155779,CA
Illinois,228.0243,12659682,55519,IL
Hawaii,219.9419,1412687,6423,HI
Virginia,218.4403,8626207,39490,VA
North Carolina,218.2702,10611862,48618,NC
Indiana,188.281,6745354,35826,IN
Georgia,186.6719,10736059,57513,GA
Michigan,177.6655,10045029,56539,MI
South Carolina,173.3174,5210095,30061,SC
Tennessee,167.2748,6897576,41235,TN
New Hampshire,153.1605,1371246,8953,NH
Washington,117.3272,7797095,66456,WA
Kentucky,113.9566,4499692,39486,KY
Texas,112.8204,29472295,261232,TX
Wisconsin,108.0497,5851754,54158,WI
Louisiana,107.5175,4645184,43204,LA
Alabama,96.9221,4908621,50645,AL
Missouri,89.7453,6169270,68742,MO
West Virginia,73.9691,1778070,24038,WV
Minnesota,71.5922,5700671,79627,MN
Vermont,68.1416,628061,9217,VT
Arizona,64.955,7378494,113594,AZ
Mississippi,63.7056,2989260,46923,MS
Arkansas,58.403,3038999,52035,AR
Oklahoma,57.6547,3954821,68595,OK
Iowa,56.9284,3179849,55857,IA
Colorado,56.4011,5845526,103642,CO
Oregon,44.8086,4301089,95988,OR
Maine,43.6336,1345790,30843,ME
Utah,39.943,3282115,82170,UT
Kansas,35.5968,2910357,81759,KS
Nevada,28.5993,3139658,109781,NV
Nebraska,25.4161,1952570,76824,NE
Idaho,22.0969,1826156,82643,ID
New Mexico,17.285,2096640,121298,NM
South Dakota,11.9116,903027,75811,SD
North Dakota,11.0393,761723,69001,ND
Montana,7.4668,1086759,145546,MT
Wyoming,5.84,567025,97093,WY
Alaska,1.2863,734002,570641,AK
